t,px,py,pz,vx,vy,vz,qw,qx,qy,qz,p,q,r,act_ail,act_ele,act_rud,act_thr
0.000000000000000000e+00,8.000000566244125366e-02,0.000000000000000000e+00,-1.000000000000000000e+02,1.990626716613769531e+01,0.000000000000000000e+00,3.924000263214111328e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.177071590063860640e-05,0.000000000000000000e+00,0.000000000000000000e+00,5.885357502847909927e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.617993950843811035e-01,0.000000000000000000e+00,8.000000566244125366e-02
1.000000000000000056e-01,1.969624519348144531e+00,0.000000000000000000e+00,-9.989868927001953125e+01,1.784951972961425781e+01,0.000000000000000000e+00,2.662842750549316406e+00,9.911425113677978516e-01,0.000000000000000000e+00,-1.328030228614807129e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.721386790275573730e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.617993950843811035e-01,0.000000000000000000e+00,8.855848908424377441e-01
2.000000000000000111e-01,3.659185647964477539e+00,0.000000000000000000e+00,-9.949671173095703125e+01,1.586355972290039062e+01,0.000000000000000000e+00,5.362514972686767578e+00,9.761843681335449219e-01,0.000000000000000000e+00,-2.169428765773773193e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.724378228187561035e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.617993950843811035e-01,0.000000000000000000e+00,9.857708811759948730e-01
2.999999999999999889e-01,5.150230407714843750e+00,0.000000000000000000e+00,-9.885422515869140625e+01,1.388080120086669922e+01,0.000000000000000000e+00,7.490710735321044922e+00,9.545053243637084961e-01,0.000000000000000000e+00,-2.981939613819122314e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.644613504409790039e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.617993950843811035e-01,0.000000000000000000e+00,9.982303977012634277e-01
4.000000000000000222e-01,6.444352626800537109e+00,0.000000000000000000e+00,-9.802086639404296875e+01,1.193142604827880859e+01,0.000000000000000000e+00,9.178601264953613281e+00,9.274851679801940918e-01,0.000000000000000000e+00,-3.738599419593811035e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.573019981384277344e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.617993950843811035e-01,0.000000000000000000e+00,9.997798800468444824e-01
5.000000000000000000e-01,7.546001911163330078e+00,0.000000000000000000e+00,-9.703627014160156250e+01,1.003546428680419922e+01,0.000000000000000000e+00,1.051356124877929688e+01,8.960750699043273926e-01,0.000000000000000000e+00,-4.439026415348052979e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.501046419143676758e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.617993950843811035e-01,0.000000000000000000e+00,9.999726414680480957e-01
5.999999999999999778e-01,8.460937500000000000e+00,0.000000000000000000e+00,-9.593260192871093750e+01,8.200189590454101562e+00,0.000000000000000000e+00,1.155773639678955078e+01,8.612260222434997559e-01,0.000000000000000000e+00,-5.082220435142517090e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.428581476211547852e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.617993950843811035e-01,0.000000000000000000e+00,9.999966025352478027e-01
7.000000000000000666e-01,9.195348739624023438e+00,0.000000000000000000e+00,-9.473667144775390625e+01,6.427675724029541016e+00,0.000000000000000000e+00,1.235397529602050781e+01,8.238294124603271484e-01,0.000000000000000000e+00,-5.668377876281738281e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.356136202812194824e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.617993950843811035e-01,0.000000000000000000e+00,9.999996423721313477e-01
8.000000000000000444e-01,9.755585670471191406e+00,0.000000000000000000e+00,-9.347181701660156250e+01,4.719694614410400391e+00,0.000000000000000000e+00,1.293194293975830078e+01,7.846872806549072266e-01,0.000000000000000000e+00,-6.198920011520385742e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.284684419631958008e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.617993950843811035e-01,0.000000000000000000e+00,9.999996423721313477e-01
9.000000000000000222e-01,1.014826107025146484e+01,0.000000000000000000e+00,-9.215875244140625000e+01,3.079955339431762695e+00,0.000000000000000000e+00,1.331321334838867188e+01,7.444916367530822754e-01,0.000000000000000000e+00,-6.676318049430847168e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.215222120285034180e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.617993950843811035e-01,0.000000000000000000e+00,9.999996423721313477e-01
